"Cinco Doce","cincodoce.com","facebook.com/cincodoce512","youtube.com/cincodocetv","sonicbids.com/band/CincoDoce","","Austin","TX",""
"PapaNegro","papanegro.cl","facebook.com/grupopapanegro","youtube.com/grupopapanegro","sonicbids.com/band/PapaNegro","","Santiago","","CHILE"
"Angelo Moore & The Brand New Step","Brandnewstep.com","","youtube.com/watch?v=D790OkrnLeA","sonicbids.com/band/AngeloMooreTheBrandNewStep2","","San Francisco","CA",""
"Truth Universal","truthuniversal.com","facebook.com/truthuniversal","youtube.com/truthuniversal","sonicbids.com/band/truthuniversal","","New Orleans","LA",""
"Sean Falyon","seanfalyon.com","facebook.com/SeanFalyonSFBE","youtube.com/user/SeanFalyonVEVO/","sonicbids.com/band/SEANFALYON","","Atlanta","GA",""
"Sir Sly","","facebook.com/sirslymusic","youtube.com/sirsly","","","Los Angeles","CA",""
"Black Taxi","blacktaxi.com/","facebook.com/BLACKTAXIMUSIC","youtube.com/user/blacktaximusic","sonicbids.com/band/BlackTaximusic","","Brooklyn","NY",""
"Boyfrndz","boyfrndz.com","facebook.com/boyfrndz","youtube.com/user/boyfrndz","sonicbids.com/band/Boyfrndz","","Austin","TX",""
"Gungor","gungormusic.com","facebook.com/gungormusic","youtube.com/gungormusic","sonicbids.com/band/Gungor","","Denver","CO",""
"mr. Gnome","mrgnome.com","facebook.com/mrgnomemusic","youtube.com/mrgnomevideos","sonicbids.com/band/mrGnome","","Cleveland","OH",""
"Drenge","","facebook.com/drengeboys","youtube.com/drengeband","","","Castleton","","UK-ENGLAND"
"Shakey Graves","","facebook.com/pages/Shakey-Graves/123688040988781","","","","Austin","TX",""
"Residual Kid","soundcloud.com/residualkid","facebook.com/residualkid","youtube.com/residualkid","sonicbids.com/band/ResidualKid","","Austin","TX",""
"The Sour Notes","open.spotify.com/artist/1FoDUPkRSCLZmuoFt6bwyQ","facebook.com/TheSourNotes","youtube.com/user/TheSourNotes","sonicbids.com/band/TheSourNotes","","Austin","TX",""
"Grieves","","facebook.com/Grievesmusic","youtube.com/watch?v=5So-_z-jkHE","","","Seattle","WA",""
"BIG DIRTY & P.I.E.","SOUNDCLOUD.COM/JUMBOBRIGANTE","facebook.com/BigDirtyBrigante","youtube.com/onthereelfilms","sonicbids.com/band/BIGDIRTY2","","Austin","TX",""
"San Fermin","","facebook.com/sanferminband","","","","Brooklyn","NY",""
"Colin Gilmore","colingilmore.com","facebook.com/happiergilmore","youtube.com/happiergilmore","sonicbids.com/band/ColinGilmore4","","Austin","TX",""
"Paper Lions","paperlions.com","facebook.com/paperlions","youtube.com/paperlions","sonicbids.com/band/PaperLions","","Charlottetown","PE","CANADA"
"The Blank Tapes","","facebook.com/blanktapes","youtube.com/theblanktapes","","","Los Angeles","CA",""
"Air Review","airreview.net/","facebook.com/airreview","youtube.com/user/AirReview","sonicbids.com/band/AirReview","","Dallas","TX",""
"Vampillia","vampillia.com","pages/Vampillia-official/142523172462482?ref=hl","youtube.com/watch?v=zg98JpPkii0","sonicbids.com/band/Vampillia3","","Osaka","","JAPAN"
"Paus","primaverasound.com/psTouringPartyInfo?6af3a2c42702da159eed4e0efa72d1bc","facebook.com/pausoficial?ref=ts&fref=ts","youtube.com/watch?v=ZFt9H4X373o","sonicbids.com/band/Paus4","","Lisbon","","PORTUGAL"
"Gabby Young and Other Animals","gabbyyoungandotheranimals.com","https://www.facebook.com/GabbyYoungandOtherAnimals","youtube.com/gabbyyoungvideos","sonicbids.com/band/GabbyYoungandOtherAnimals3","","London","","UK-ENGLAND"
"Bugs of Phonon","soundcloud.com/bugsofphonon/flitting-lights-flowing-shadows","facebook.com/bugsofphonon","youtube.com/watch?v=EPOs9-VTNoQ","sonicbids.com/band/BugsofPhonon","","Tainan","","TAIWAN"
"Ariana Gillis","arianagillis.com/dropbox.html","facebook.com/arianagillisfanpage","youtube.com/user/ArianaGillis","sonicbids.com/band/ArianaGillis","","Toronto","ON","CANADA"
"Current Swell","currentswell.com","facebook.com/currentswell","youtube.com/currentswellmusic","sonicbids.com/band/CurrentSwellNumber2","","Victoria","BC","CANADA"
"ChihiroYamazaki+ROUTE14band","route14.rdy.jp","facebook.com/ChihiroYamazaki.ROUTE14band","youtu.be/uwAFE0zLPgo","sonicbids.com/band/ChihiroYamazakiROUTE14band","","Tokyo","","JAPAN"
"e-dubble","soundcloud.com/edubble","facebook.com/edubHipHop","youtube.com/EdubHipHop","sonicbids.com/band/edubble","","Baltimore","MD",""
"V.I.P","nr4l.com","facebook.com/pages/VIP/140767875944107","youtube.com/user/ninarossrecords4life","sonicbids.com/band/VIP8","","Austin","TX",""
"Wes Fif","wesfif.com","facebook.com/wesfif","youtube.com/wesfiftv","sonicbids.com/band/WesFif","","Orlando","FL",""
"Starlight Girls","StarlightGirls.net","Facebook.com/StarlightGirls","youtube.com/watch?v=BcttUQooVMY","sonicbids.com/band/StarlightGirls","","Brooklyn","NY",""
"Bipolar Sunshine","","facebook.com/bipolarsunshine","youtube.com/bipolarsunshine","","","Manchester","","UK-ENGLAND"
"Toadies (playing Rubberneck)","","","","","","Fort Worth","TX",""
"La Orquesta Vulgar","soundcloud.com/la-orquesta-vulgar","facebook.com/laorquestaoficial","youtube.com/watch?v=xLKTm6UtZec","sonicbids.com/band/LaOrquestaVulgar2","","Mexico City","","MEXICO"
"Kristian Terzic Band","kristianterzic.com","facebook.com/KristianTerzicBand","youtube.com/watch?v=v9GNhWiSOoc","sonicbids.com/band/KristianTerzic","","Rovinj","","CROATIA"
"Madi Diaz","","facebook.com/MadiDiazMusic","youtube.com/madidiaz","","","Los Angeles","CA",""
"Little Daylight","","facebook.com/littledaylightsounds","youtube.com/LittleDaylightVevo","","","Brooklyn","NY",""
"Saor Patrol","","facebook.com/pages/Saor-Patrol/8569991613?ref=hl","","","","Edinburgh","","UK-SCOTLAND"
